id,zip,lat,log,flag,city,city_slug,state_id,state,state_slug
15118,36503,31.1456,-87.4573,NULL,Atmore,atmore,AL,Alabama,alabama
15119,36504,31.0404,-87.4687,NULL,Atmore,atmore,AL,Alabama,alabama
15120,36505,30.9427,-88.0164,NULL,Axis,axis,AL,Alabama,alabama
15121,36507,30.8632,-87.739,NULL,Bay Minette,bay-minette,AL,Alabama,alabama
15122,36509,30.402,-88.2616,NULL,Bayou La Batre,bayou-la-batre,AL,Alabama,alabama
15123,36511,30.3128,-87.7431,NULL,Bon Secour,bon-secour,AL,Alabama,alabama
15124,36512,30.9978,-88.015,NULL,Bucks,bucks,AL,Alabama,alabama
15125,36513,31.1718,-88.0034,NULL,Calvert,calvert,AL,Alabama,alabama
15126,36515,31.58842,-87.840875,NULL,Carlton,carlton,AL,Alabama,alabama
15127,36518,31.4545,-88.284,NULL,Chatom,chatom,AL,Alabama,alabama
15128,36521,30.9648,-88.1812,NULL,Chunchula,chunchula,AL,Alabama,alabama
15129,36522,31.0918,-88.2713,NULL,Citronelle,citronelle,AL,Alabama,alabama
15130,36523,30.377,-88.1672,NULL,Coden,coden,AL,Alabama,alabama
15131,36524,31.8142,-88.0211,NULL,Coffeeville,coffeeville,AL,Alabama,alabama
15132,36525,30.89,-88.0181,NULL,Creola,creola,AL,Alabama,alabama
15133,36526,30.613,-87.8614,NULL,Daphne,daphne,AL,Alabama,alabama
15134,36527,30.6982,-87.873,NULL,Daphne,daphne,AL,Alabama,alabama
15135,36528,30.2525,-88.1438,NULL,Dauphin Island,dauphin-island,AL,Alabama,alabama
15136,36529,31.2778,-88.2657,NULL,Deer Park,deer-park,AL,Alabama,alabama
15137,36530,30.4102,-87.5547,NULL,Elberta,elberta,AL,Alabama,alabama
15138,36532,30.4827,-87.8618,NULL,Fairhope,fairhope,AL,Alabama,alabama
15139,36533,30.5392,-87.8969,NULL,Fairhope,fairhope,AL,Alabama,alabama
15140,36535,30.3855,-87.7261,NULL,Foley,foley,AL,Alabama,alabama
15141,36536,30.4307,-87.7148,NULL,Foley,foley,AL,Alabama,alabama
15142,36538,31.6626,-88.138,NULL,Frankville,frankville,AL,Alabama,alabama
15143,36539,31.3397,-88.384,NULL,Fruitdale,fruitdale,AL,Alabama,alabama
15144,36540,31.4455,-87.6686,NULL,Gainestown,gainestown,AL,Alabama,alabama
15145,36541,30.4933,-88.3405,NULL,Grand Bay,grand-bay,AL,Alabama,alabama
15146,36542,30.2772,-87.7372,NULL,Gulf Shores,gulf-shores,AL,Alabama,alabama
15147,36543,31.2208,-87.4633,NULL,Huxford,huxford,AL,Alabama,alabama
15148,36544,30.4744,-88.2329,NULL,Irvington,irvington,AL,Alabama,alabama
15149,36545,31.4894,-87.8743,NULL,Jackson,jackson,AL,Alabama,alabama
15150,36547,30.2595,-87.6248,NULL,Gulf Shores,gulf-shores,AL,Alabama,alabama
15151,36548,31.4875,-87.9716,NULL,Leroy,leroy,AL,Alabama,alabama
15152,36549,30.4137,-87.4485,NULL,Lillian,lillian,AL,Alabama,alabama
15153,36550,31.2375,-87.7211,NULL,Little River,little-river,AL,Alabama,alabama
15154,36551,30.6375,-87.7528,NULL,Loxley,loxley,AL,Alabama,alabama
15155,36553,31.241,-88.0693,NULL,Mc Intosh,mc-intosh,AL,Alabama,alabama
15156,36555,30.3998,-87.7726,NULL,Magnolia Springs,magnolia-springs,AL,Alabama,alabama
15157,36556,31.2065,-87.9718,NULL,Malcolm,malcolm,AL,Alabama,alabama
15158,36558,31.6077,-88.3185,NULL,Millry,millry,AL,Alabama,alabama
15159,36559,30.5685,-87.904,NULL,Montrose,montrose,AL,Alabama,alabama
15160,36560,31.0964,-88.04,NULL,Mount Vernon,mount-vernon,AL,Alabama,alabama
15161,36561,30.2869,-87.5703,NULL,Orange Beach,orange-beach,AL,Alabama,alabama
15162,36562,31.0344,-87.6614,NULL,Perdido,perdido,AL,Alabama,alabama
15163,36564,30.4768,-87.9252,NULL,Point Clear,point-clear,AL,Alabama,alabama
15164,36567,30.6148,-87.5598,NULL,Robertsdale,robertsdale,AL,Alabama,alabama
15165,36568,30.5128,-88.2726,NULL,Saint Elmo,saint-elmo,AL,Alabama,alabama
